rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
56,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_30_32/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
57,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_33_35/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
58,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_36_38/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
59,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_39_41/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
60,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_3_5/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
61,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_42_44/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
62,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_45_47/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
63,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_48_50/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
64,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_51_53/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
65,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_54_56/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
