claim_scope,ownership_bucket,detail_bucket,resource_class,ref_name,cell_name,parent_name,classification_reason
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[5]_i_7",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[5]_i_8",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT2","ecc_dst_q[5]_i_9",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT2","ecc_dst_q[5]_i_10",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[5]_i_11",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT2","ecc_dst_q[5]_i_12",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT2","ecc_dst_q[5]_i_13",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","ff","FDCE","ecc_dst_q_reg[0]",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","ff","FDCE","ecc_dst_q_reg[1]",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","ff","FDCE","ecc_dst_q_reg[2]",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","ff","FDCE","ecc_dst_q_reg[3]",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","mux","MUXF7","ecc_dst_q_reg[3]_i_2",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","ff","FDCE","ecc_dst_q_reg[4]",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","ff","FDCE","ecc_dst_q_reg[5]",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_mul_fold_mapping","logic_lut","LUT6","ecc_fold_word_q[0]_i_1",".","named ECC leaf, diagonal, product, fold, or contribution mapping logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_mul_fold_mapping","logic_lut","LUT4","ecc_fold_word_q[0]_i_2",".","named ECC leaf, diagonal, product, fold, or contribution mapping logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_mul_fold_mapping","logic_lut","LUT5","ecc_fold_word_q[1]_i_1",".","named ECC leaf, diagonal, product, fold, or contribution mapping logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_mul_fold_mapping","logic_lut","LUT6","ecc_fold_word_q[1]_i_2",".","named ECC leaf, diagonal, product, fold, or contribution mapping logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_mul_fold_mapping","logic_lut","LUT2","ecc_fold_word_q[1]_i_3",".","named ECC leaf, diagonal, product, fold, or contribution mapping logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_mul_fold_mapping","ff","FDCE","ecc_fold_word_q_reg[0]",".","named ECC leaf, diagonal, product, fold, or contribution mapping logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_mul_fold_mapping","ff","FDCE","ecc_fold_word_q_reg[1]",".","named ECC leaf, diagonal, product, fold, or contribution mapping logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT2","ecc_inv_step_q[0]_i_1",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT3","ecc_inv_step_q[1]_i_1",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT4","ecc_inv_step_q[2]_i_1",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT6","ecc_inv_step_q[3]_i_1",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT5","ecc_inv_step_q[3]_i_2",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT3","ecc_inv_step_q[3]_i_3",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","ff","FDCE","ecc_inv_step_q_reg[0]",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","ff","FDCE","ecc_inv_step_q_reg[1]",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","ff","FDCE","ecc_inv_step_q_reg[2]",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","ff","FDCE","ecc_inv_step_q_reg[3]",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT5","ecc_job_active_q_i_1",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","ff","FDCE","ecc_job_active_q_reg",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT5","ecc_job_bg_q_i_1",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT6","ecc_job_bg_q_i_2",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","ff","FDCE","ecc_job_bg_q_reg",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT5","ecc_job_done_q_i_1",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT2","ecc_job_done_q_i_2",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","ff","FDCE","ecc_job_done_q_reg",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT3","ecc_job_dst_q[1]_i_1",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT2","ecc_job_dst_q[3]_i_1",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT3","ecc_job_dst_q[4]_i_1",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT6","ecc_job_dst_q[5]_i_1",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT3","ecc_job_dst_q[5]_i_2",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT2","ecc_job_dst_q[5]_i_3",".","named ECC PMUL, inversion, or square logic"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_pmul_inv_square","logic_lut","LUT5","ecc_job_dst_q[5]_i_4",".","named ECC PMUL, inversion, or square logic"
