pattern,object_name,object_type,ref_name,hierarchy,fanout,driver,load_cells,load_lanes,cross_multiple_lanes
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount",cell,"hdec_lane_popcount_compressor","gen_lane[3].i_p2_pop_slice",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_11",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_12",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_16",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_17",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_2",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_21",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_22",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_27",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_3",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_4",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_5",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_10",cell,"LUT6","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_11",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_14",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_15",cell,"LUT6","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_16",cell,"LUT6","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_18",cell,"LUT6","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_2",cell,"LUT6","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
