rank,net,fanout,driver,load_cells,load_lanes,cross_multiple_lanes
68,"i_vrf/gen_vrf_bram[3].i_vrf_bank/init_state_q[0]",188,"i_vrf/init_state_q_reg[0]/Q",188,"",0
69,"uop_p3_n",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
70,"gen_lane[0].i_p2_pop_slice/Q[0]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
71,"gen_lane[1].i_p2_pop_slice/Q[0]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
72,"gen_lane[2].i_p2_pop_slice/Q[2]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
73,"gen_lane[3].i_p2_pop_slice/Q[0]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
74,"i_vrf/lane_result_q[3][63]_i_12[6]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
75,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_12_0[6]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
76,"i_vrf/gen_vrf_bram[1].i_vrf_bank/lane_clip_q_reg[1][0][3]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
77,"i_vrf/gen_vrf_bram[2].i_vrf_bank/lane_clip_q_reg[2][0][2]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
78,"i_vrf/gen_vrf_bram[3].i_vrf_bank/lane_clip_q_reg[3][0][2]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
79,"i_vrf/lane_shift_nibble[0]",156,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][58]_i_8/O",156,"",0
80,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_shift_nibble[0]",156,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][58]_i_8/O",156,"",0
81,"i_vrf/gen_vrf_bram[1].i_vrf_bank/lane_shift_nibble[0]",156,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][58]_i_8/O",156,"",0
82,"i_vrf/gen_vrf_bram[2].i_vrf_bank/lane_shift_nibble[0]",156,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][58]_i_8/O",156,"",0
83,"i_vrf/gen_vrf_bram[3].i_vrf_bank/lane_shift_nibble[0]",156,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][58]_i_8/O",156,"",0
84,"i_vrf/gen_vrf_bram[0].i_vrf_bank_n_176",138,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][61]_i_11/O",138,"",0
85,"i_vrf/gen_vrf_bram[0].i_vrf_bank/uop_p2_q_reg[use_shift]_1",138,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][61]_i_11/O",138,"",0
86,"i_vrf/gen_vrf_bram[1].i_vrf_bank/lane_result_q[3][37]_i_3",138,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][61]_i_11/O",138,"",0
87,"i_vrf/gen_vrf_bram[2].i_vrf_bank/lane_result_q[3][21]_i_2",138,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][61]_i_11/O",138,"",0
88,"i_vrf/gen_vrf_bram[3].i_vrf_bank/lane_result_q[3][20]_i_2_1",138,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][61]_i_11/O",138,"",0
89,"i_vrf/gen_vrf_bram[0].i_vrf_bank_n_145",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][61]_i_26/O",135,"",0
90,"i_vrf/gen_vrf_bram[0].i_vrf_bank_n_146",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][61]_i_25/O",135,"",0
91,"i_vrf/gen_vrf_bram[0].i_vrf_bank_n_148",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][60]_i_25/O",135,"",0
92,"i_vrf/gen_vrf_bram[0].i_vrf_bank_n_149",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][60]_i_24/O",135,"",0
93,"i_vrf/gen_vrf_bram[0].i_vrf_bank_n_171",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][60]_i_9/O",135,"",0
94,"i_vrf/gen_vrf_bram[0].i_vrf_bank/hperm_lane_base_q_reg[0]_1",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][61]_i_25/O",135,"",0
95,"i_vrf/gen_vrf_bram[0].i_vrf_bank/hperm_lane_base_q_reg[0]_2",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][60]_i_24/O",135,"",0
96,"i_vrf/gen_vrf_bram[0].i_vrf_bank/hperm_lane_base_q_reg[1]_2",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][61]_i_26/O",135,"",0
97,"i_vrf/gen_vrf_bram[0].i_vrf_bank/hperm_lane_base_q_reg[1]_3",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][60]_i_25/O",135,"",0
98,"i_vrf/gen_vrf_bram[0].i_vrf_bank/uop_p2_q_reg[perm_nibble][0]",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][60]_i_9/O",135,"",0
99,"i_vrf/gen_vrf_bram[1].i_vrf_bank/lane_result_q[3][28]_i_3",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][60]_i_9/O",135,"",0
100,"i_vrf/gen_vrf_bram[1].i_vrf_bank/lane_result_q[3][60]_i_4",135,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][60]_i_25/O",135,"",0
