claim_scope,physical_lut_key,loc,lut_letter,logical_lut_cell_count,ownership_set,physical_class,counted_ecc_private_lower_bound,logical_cell_names
"route_physical_ecc_private_lower_bound","SLICE_X42Y33/B","SLICE_X42Y33","B","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][2]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X42Y33/C","SLICE_X42Y33","C","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][3]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X42Y33/D","SLICE_X42Y33","D","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][3]_i_4"
"route_physical_ecc_private_lower_bound","SLICE_X42Y34/A","SLICE_X42Y34","A","2","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_14;i_vec/popcount_part_q[3][0][5]_i_16"
"route_physical_ecc_private_lower_bound","SLICE_X42Y34/B","SLICE_X42Y34","B","2","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_15;i_vec/popcount_part_q[3][0][5]_i_37"
"route_physical_ecc_private_lower_bound","SLICE_X42Y34/C","SLICE_X42Y34","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_38"
"route_physical_ecc_private_lower_bound","SLICE_X42Y34/D","SLICE_X42Y34","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_19"
"route_physical_ecc_private_lower_bound","SLICE_X42Y35/A","SLICE_X42Y35","A","2","shared","shared_only","0","i_vec/popcount_part_q[3][0][2]_i_2;i_vec/popcount_part_q[3][0][5]_i_21"
"route_physical_ecc_private_lower_bound","SLICE_X42Y35/B","SLICE_X42Y35","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_22"
"route_physical_ecc_private_lower_bound","SLICE_X42Y35/C","SLICE_X42Y35","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_4"
"route_physical_ecc_private_lower_bound","SLICE_X42Y36/A","SLICE_X42Y36","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][2]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X42Y36/B","SLICE_X42Y36","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_13"
"route_physical_ecc_private_lower_bound","SLICE_X42Y36/C","SLICE_X42Y36","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X42Y36/D","SLICE_X42Y36","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X42Y37/A","SLICE_X42Y37","A","1","shared","shared_only","0","i_vec/ecc_leaf_prod_q[7]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X42Y37/B","SLICE_X42Y37","B","2","shared","shared_only","0","i_vec/popcount_part_q[3][1][5]_i_10;i_vec/popcount_part_q[3][1][5]_i_15"
"route_physical_ecc_private_lower_bound","SLICE_X42Y37/C","SLICE_X42Y37","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][2]_i_11"
"route_physical_ecc_private_lower_bound","SLICE_X42Y37/D","SLICE_X42Y37","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][5]_i_9"
"route_physical_ecc_private_lower_bound","SLICE_X42Y38/A","SLICE_X42Y38","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][3]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X42Y38/B","SLICE_X42Y38","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][5]_i_4"
"route_physical_ecc_private_lower_bound","SLICE_X42Y38/C","SLICE_X42Y38","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_6"
"route_physical_ecc_private_lower_bound","SLICE_X42Y38/D","SLICE_X42Y38","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][2]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X43Y12/A","SLICE_X43Y12","A","2","hdc_private","hdc_private_only","0","hmatch_best_dist_q[10]_i_4;uop_p0_q[chunk_idx][1]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X43Y12/B","SLICE_X43Y12","B","1","hdc_private","hdc_private_only","0","uop_p0_q[chunk_idx][1]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X43Y12/C","SLICE_X43Y12","C","1","hdc_private","hdc_private_only","0","uop_p0_q[chunk_idx][0]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X43Y12/D","SLICE_X43Y12","D","1","hdc_private","hdc_private_only","0","uop_p0_q[chunk_idx][1]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X43Y13/A","SLICE_X43Y13","A","2","hdc_private","hdc_private_only","0","uop_p0_q[chunk_idx][0]_i_2;uop_p0_q[src0_addr][5]_i_6"
"route_physical_ecc_private_lower_bound","SLICE_X43Y13/B","SLICE_X43Y13","B","2","hdc_private;unattributed","mixed_ownership","0","FSM_onehot_st_q[1]_i_8;uop_p0_q[src0_addr][3]_i_8"
"route_physical_ecc_private_lower_bound","SLICE_X43Y13/C","SLICE_X43Y13","C","1","hdc_private","hdc_private_only","0","uop_p0_q[src0_addr][5]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X43Y13/D","SLICE_X43Y13","D","1","hdc_private","hdc_private_only","0","uop_p0_q[src1_addr][5]_i_4"
"route_physical_ecc_private_lower_bound","SLICE_X43Y14/A","SLICE_X43Y14","A","1","hdc_private","hdc_private_only","0","uop_p0_q[src0_addr][5]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X43Y14/B","SLICE_X43Y14","B","1","hdc_private","hdc_private_only","0","uop_p0_q[src1_addr][2]_i_10"
"route_physical_ecc_private_lower_bound","SLICE_X43Y14/C","SLICE_X43Y14","C","1","hdc_private","hdc_private_only","0","uop_p0_q[src1_addr][2]_i_5"
"route_physical_ecc_private_lower_bound","SLICE_X43Y14/D","SLICE_X43Y14","D","1","hdc_private","hdc_private_only","0","uop_p0_q[src1_addr][2]_i_7"
"route_physical_ecc_private_lower_bound","SLICE_X43Y15/A","SLICE_X43Y15","A","2","shared;hdc_private","mixed_ownership","0","clr_cnt_q[3]_i_4;res_q[63]_i_9"
"route_physical_ecc_private_lower_bound","SLICE_X43Y15/B","SLICE_X43Y15","B","2","hdc_private","hdc_private_only","0","uop_p0_q[src0_addr][3]_i_5;uop_p0_q[src1_addr][5]_i_7"
"route_physical_ecc_private_lower_bound","SLICE_X43Y15/C","SLICE_X43Y15","C","2","shared;hdc_private","mixed_ownership","0","uop_p0_q[subgroup_idx][0]_i_1;vrf_ra_q[0]_i_15"
"route_physical_ecc_private_lower_bound","SLICE_X43Y15/D","SLICE_X43Y15","D","2","hdc_private","hdc_private_only","0","hcntclip_dst_base_q[4]_i_1;hsim_src1_base_q[5]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X43Y16/A","SLICE_X43Y16","A","2","hdc_private","hdc_private_only","0","clr_cnt_q[3]_i_5;uop_p0_q[src0_addr][1]_i_4"
"route_physical_ecc_private_lower_bound","SLICE_X43Y16/B","SLICE_X43Y16","B","1","hdc_private","hdc_private_only","0","uop_p0_q[src0_addr][2]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X43Y16/C","SLICE_X43Y16","C","1","unattributed","unattributed_only","0","FSM_onehot_st_q[1]_i_7"
"route_physical_ecc_private_lower_bound","SLICE_X43Y16/D","SLICE_X43Y16","D","1","unattributed","unattributed_only","0","FSM_onehot_st_q[50]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X43Y17/A","SLICE_X43Y17","A","2","hdc_private","hdc_private_only","0","hcntclip_chunk_q[0]_i_1;hcntclip_chunk_q[1]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X43Y17/B","SLICE_X43Y17","B","1","hdc_private","hdc_private_only","0","uop_p0_q[valid]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X43Y17/C","SLICE_X43Y17","C","1","hdc_private","hdc_private_only","0","uop_p0_q[valid]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X43Y17/D","SLICE_X43Y17","D","1","unattributed","unattributed_only","0","FSM_onehot_st_q[50]_i_4"
"route_physical_ecc_private_lower_bound","SLICE_X43Y26/A","SLICE_X43Y26","A","2","shared","shared_only","0","i_vec/i_vrf_i_655;i_vec/i_vrf_i_656"
